*企業コード(Primary key),*従業員コード(Primary key),*従業員タイプコード,*従業員(姓)/(姓名),従業員(名前),*従業員 マイナンバー,本人確認書類,*生年月日,*被扶養者1 (生年月日),*被扶養者1 (姓)/(姓名),被扶養者1 (名前),*被扶養者1 マイナンバー,被扶養者1 確認書類,*被扶養者2 (生年月日),*被扶養者2 (姓)/(姓名),被扶養者2 (名前),*被扶養者2 マイナンバー,被扶養者2 本人確認書類,*被扶養者3 (生年月日),*被扶養者3 (姓)/(姓名),被扶養者3 (名前),*被扶養者3 マイナンバー,被扶養者3 確認書類,*被扶養者4 (生年月日),*被扶養者4 (姓)/(姓名),被扶養者4 (名前),*被扶養者4 マイナンバー,被扶養者4 確認書類,*被扶養者5 (生年月日),*被扶養者5 (姓)/(姓名),被扶養者5 (名前),*被扶養者5 マイナンバー,被扶養者5 確認書類,*被扶養者6 (生年月日),*被扶養者6 (姓)/(姓名),被扶養者6 (名前),*被扶養者6 マイナンバー,被扶養者6 本人確認書類,*被扶養者7 (生年月日),*被扶養者7 (姓)/(姓名),被扶養者7 (名前),*被扶養者7 マイナンバー,被扶養者7 確認書類,*被扶養者8 (生年月日),*被扶養者8 (姓)/(姓名),被扶養者8 (名前),*被扶養者8 マイナンバー,被扶養者8 確認書類,*被扶養者9 (生年月日),*被扶養者9 (姓)/(姓名),被扶養者9 (名前),*被扶養者9 マイナンバー,被扶養者9 確認書類,*被扶養者10 (生年月日),*被扶養者10 (姓)/(姓名),被扶養者10 (名前),*被扶養者10 マイナンバー,被扶養者10 確認書類,*被扶養者10 (生年月日),*被扶養者11 (姓)/(姓名),被扶養者11 (名前),*被扶養者11 マイナンバー,被扶養者11 確認書類,*被扶養者12 (生年月日),*被扶養者12 (姓)/(姓名),被扶養者12 (名前),*被扶養者12 マイナンバー,被扶養者12 本人確認書類,*被扶養者13 (生年月日),*被扶養者13 (姓)/(姓名),被扶養者13 (名前),*被扶養者13 マイナンバー,被扶養者13 確認書類,*被扶養者14 (生年月日),*被扶養者14 (姓)/(姓名),被扶養者14 (名前),*被扶養者14 マイナンバー,被扶養者14 確認書類,*被扶養者15 (生年月日),*被扶養者15 (姓)/(姓名),被扶養者15 (名前),*被扶養者15 マイナンバー,被扶養者15 確認書類,ー
A001,auser00001,1,姓1,姓名1,100000000001,本人確認書類,19000101,19000102,姓1,姓名1,200000000001,本人確認書類,19000103,姓1,姓名1,300000000001,本人確認書類,19000104,姓1,姓名1,400000000001,本人確認書類,19000105,姓1,姓名1,500000000001,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00002,1,姓2,姓名2,100000000002,本人確認書類,19000101,19000102,姓2,姓名2,200000000002,本人確認書類,19000103,姓2,姓名2,300000000002,本人確認書類,19000104,姓2,姓名2,400000000002,本人確認書類,19000105,姓2,姓名2,500000000002,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00003,1,姓3,姓名3,100000000003,本人確認書類,19000101,19000102,姓3,姓名3,200000000003,本人確認書類,19000103,姓3,姓名3,300000000003,本人確認書類,19000104,姓3,姓名3,400000000003,本人確認書類,19000105,姓3,姓名3,500000000003,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00004,1,姓4,姓名4,100000000004,本人確認書類,19000101,19000102,姓4,姓名4,200000000004,本人確認書類,19000103,姓4,姓名4,300000000004,本人確認書類,19000104,姓4,姓名4,400000000004,本人確認書類,19000105,姓4,姓名4,500000000004,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00005,1,姓5,姓名5,100000000005,本人確認書類,19000101,19000102,姓5,姓名5,200000000005,本人確認書類,19000103,姓5,姓名5,300000000005,本人確認書類,19000104,姓5,姓名5,400000000005,本人確認書類,19000105,姓5,姓名5,500000000005,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00006,1,姓6,姓名6,100000000006,本人確認書類,19000101,19000102,姓6,姓名6,200000000006,本人確認書類,19000103,姓6,姓名6,300000000006,本人確認書類,19000104,姓6,姓名6,400000000006,本人確認書類,19000105,姓6,姓名6,500000000006,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00007,1,姓7,姓名7,100000000007,本人確認書類,19000101,19000102,姓7,姓名7,200000000007,本人確認書類,19000103,姓7,姓名7,300000000007,本人確認書類,19000104,姓7,姓名7,400000000007,本人確認書類,19000105,姓7,姓名7,500000000007,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00008,1,姓8,姓名8,100000000008,本人確認書類,19000101,19000102,姓8,姓名8,200000000008,本人確認書類,19000103,姓8,姓名8,300000000008,本人確認書類,19000104,姓8,姓名8,400000000008,本人確認書類,19000105,姓8,姓名8,500000000008,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00009,1,姓9,姓名9,100000000009,本人確認書類,19000101,19000102,姓9,姓名9,200000000009,本人確認書類,19000103,姓9,姓名9,300000000009,本人確認書類,19000104,姓9,姓名9,400000000009,本人確認書類,19000105,姓9,姓名9,500000000009,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A001,auser00010,1,姓10,姓名10,100000000010,本人確認書類,19000101,19000102,姓10,姓名10,200000000010,本人確認書類,19000103,姓10,姓名10,300000000010,本人確認書類,19000104,姓10,姓名10,400000000010,本人確認書類,19000105,姓10,姓名10,500000000010,本人確認書類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
